2006-2007,1963-1964,1994-1995,2002-2003,2009-2010,1957-1958,1982-1983,avg
-0.8,-0.4,0.1,-0.3,-0.8,0.1,-0.1,-0.31
-0.8,-0.4,0.1,-0.1,-0.7,0.4,0,-0.21
-0.7,-0.2,0.2,0,-0.5,0.7,0.1,-0.06
-0.5,0.2,0.3,0.1,-0.2,0.9,0.2,0.14
-0.3,0.3,0.4,0.2,0.1,1.1,0.5,0.33
0,0.3,0.4,0.4,0.4,1.3,0.7,0.50
0,0.5,0.4,0.7,0.5,1.3,0.7,0.59
0.1,0.9,0.4,0.8,0.5,1.3,0.8,0.69
0.3,1.1,0.6,0.9,0.7,1.4,1.1,0.87
0.5,1.2,0.7,1,1,1.5,1.6,1.07
0.7,1.3,1,1.2,1.3,1.7,2,1.31
0.9,1.4,1.1,1.3,1.6,1.8,2.2,1.47
0.9,1.3,1,1.1,1.5,1.7,2.2,1.39
0.7,1.1,0.7,0.9,1.3,1.3,2.2,1.17
0.3,0.6,0.5,0.6,0.9,0.9,1.9,0.81
0,0.1,0.3,0.4,0.4,0.7,1.5,0.49
-0.2,-0.3,0.1,0,-0.1,0.6,1.3,0.20
-0.3,-0.6,0,-0.3,-0.6,0.6,1.1,-0.01
